stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
3722,3722,"SB 85 ST SW @ Aspen Stone BV",,  51.040196,-114.211139,,,0
3723,3723,"WB Airport RD @ Barlow TR NE",,  51.134294,-114.002804,,,0
3724,3724,"SB 45 Street West LRT Station",,  51.038187,-114.152867,,,0
3725,3725,"SB 45 ST SW @ Grove Hill RD",,  51.033182,-114.152866,,,0
3726,3726,"SB Sierra Morena BV @ S Morena CL SW",,  51.014523,-114.176277,,,0
3727,3727,"WB Sierra Morena BV @ Sierra Madre CR SW",,  51.013131,-114.177844,,,0
3728,3728,"WB Sierra Morena BV @ Sierra Nevada CL SW",,  51.013395,-114.181678,,,0
3729,3729,"NB Sierra Morena BV @ Sierra Morena PA SW",,  51.014927,-114.185564,,,0
3730,3730,"NB Sierra Morena BV @ Sierra Morena GV SW",,  51.017071,-114.185662,,,0
3731,3731,"NB Sierra Morena BV @ Sierra Morena CO SW",,  51.019532,-114.185912,,,0
3732,3732,"EB 17 AV SW @ 69 Street West LRT Station",,  51.037636,-114.186199,,,0
3733,3733,"NB 45 ST SW @ N. OF Richmond RD",,  51.019599,-114.152695,,,0
3734,3734,"NB 45 ST SW @ 35 AV SW",,  51.022677,-114.152378,,,0
3735,3735,"NB 45 ST SW @ 30 AV SW",,  51.027281,-114.152309,,,0
3736,3736,"NB 45 ST SW @ 26 AV SW",,  51.030753,-114.152681,,,0
3737,3737,"NB 45 ST SW @ 25 AV SW",,  51.033109,-114.152665,,,0
3738,3738,"NB 45 Street West LRT Station",,  51.038227,-114.152665,,,0
3739,3739,"NB 45 ST SW @ 13 AV SW",,  51.042811,-114.152555,,,0
